question,answer
Which hyper-parameter tuning strategies (in general) do you know? ,"Here are some common hyperparameter tuning strategies:

1) Grid Search: Systematically explores a predefined set of hyperparameters by evaluating all possible combinations.

2) Random Search: Samples hyperparameter values randomly from specified ranges, potentially covering a broader space than grid search.

3) Bayesian Optimization: Uses probabilistic models to predict the performance of different hyperparameter values and iteratively refines the search space.

4) Gradient-Based Optimization: Uses gradient information to optimize hyperparameters, often applied in neural networks.

5) Evolutionary Algorithms: Uses techniques inspired by natural evolution (e.g., mutation, crossover) to explore and optimize hyperparameter combinations.

6) Hyperband: Combines random search with early stopping to allocate resources more effectively, focusing on promising configurations while pruning less effective ones."
What kind of problems neural nets can solve?,"Neural nets are good at solving non-linear problems. Some good examples are problems that are relatively easy for humans (because of experience, intuition, understanding, etc), but difficult for traditional regression models: speech recognition, handwriting recognition, image identification, etc."
How does a usual fully-connected feed-forward neural network work? ,"In a usual fully-connected feed-forward network, each neuron receives input from every element of the previous layer and thus the receptive field of a neuron is the entire previous layer. They are usually used to represent feature vectors for input data in classification problems but can be expensive to train because of the number of computations involved."
Why do we need activation functions?,"The main idea of using neural networks is to learn complex nonlinear functions. If we are not using an activation function in between different layers of a neural network, we are just stacking up multiple linear layers one on top of another and this leads to learning a linear function. The Nonlinearity comes only with the activation function, this is the reason we need activation functions."
What are the problems with sigmoid as an activation function? ,The derivative of the sigmoid function for large positive or negative numbers is almost zero. From this comes the problem of vanishing gradient during the backpropagation our net will not learn (or will learn drastically slow). One possible way to solve this problem is to use ReLU activation function.
What is ReLU? How is it better than sigmoid or tanh? ,"ReLU is an abbreviation for Rectified Linear Unit. It is an activation function which has the value 0 for all negative values and the value f(x) = x for all positive values. The ReLU has a simple activation function which makes it fast to compute and while the sigmoid and tanh activation functions saturate at higher values, the ReLU has a potentially infinite activation, which addresses the problem of vanishing gradients."
How we can initialize the weights of a neural network? ,"Proper initialization of weight matrix in neural network is very necessary.
Simply we can say there are two ways for initializations.
   1. Initializing weights with zeroes.
      Setting weights to zero makes your network no better than a linear model. It is important to note that setting biases to 0 will not create any troubles as non zero weights take care of breaking the symmetry and even if bias is 0, the values in every neuron are still different.  
   2. Initializing weights randomly.
      Assigning random values to weights is better than just 0 assignment. 
* a) If weights are initialized with very high values the term np.dot(W,X)+b becomes significantly higher and if an activation function like sigmoid() is applied, the function maps its value near to 1 where the slope of gradient changes slowly and learning takes a lot of time.
* b) If weights are initialized with low values it gets mapped to 0, where the case is the same as above. This problem is often referred to as the vanishing gradient."
What if we set all the weights of a neural network to 0? ,"If all the weights of a neural network are set to zero, the output of each connection is same (W*x = 0). This means the gradients which are backpropagated to each connection in a layer is same. This means all the connections/weights learn the same thing, and the model never converges."
What regularization techniques for neural nets do you know? ,"* L1 Regularization - Defined as the sum of absolute values of the individual parameters. The L1 penalty causes a subset of the weights to become zero, suggesting that the corresponding features may safely be discarded. 
* L2 Regularization - Defined as the sum of square of individual parameters. Often supported by regularization hyperparameter alpha. It results in weight decay. 
* Data Augmentation - This requires some fake data to be created as a part of training set. 
* Drop Out : This is most effective regularization technique for neural nets. Few random nodes in each layer is deactivated in forward pass. This allows the algorithm to train on different set of nodes in each iterations."
What is dropout? Why is it useful? How does it work? ,"Dropout is a regularization technique used in neural networks to prevent overfitting.

1) What it is: Dropout involves randomly ""dropping out"" or deactivating a subset of neurons during each training iteration.

2) Why it is useful: By randomly ignoring certain neurons, dropout reduces the network's dependence on any single neuron, promoting more robust feature learning and improving generalization to new, unseen data.

3) How it works: During training, dropout randomly selects neurons and sets their output to zero for a given forward pass. This prevents the model from relying too heavily on any specific neuron, making the network more resilient. During inference (testing), dropout is turned off, and the full network is used, but the weights are scaled down to account for the dropout that occurred during training."
What is backpropagation? How does it work? Why do we need it? ,"The Backpropagation algorithm looks for the minimum value of the error function in weight space using a technique called the delta rule or gradient descent. 
The weights that minimize the error function is then considered to be a solution to the learning problem. 

We need backpropogation because,
* Calculate the error â€“ How far is your model output from the actual output.
* Minimum Error â€“ Check whether the error is minimized or not.
* Update the parameters â€“ If the error is huge then, update the parameters (weights and biases). After that again check the error.  
Repeat the process until the error becomes minimum.
* Model is ready to make a prediction â€“ Once the error becomes minimum, you can feed some inputs to your model and it will produce the output."
Which optimization techniques for training neural nets do you know? ,"* Gradient Descent
* Stochastic Gradient Descent
* Mini-Batch Gradient Descent(best among gradient descents)
* Nesterov Accelerated Gradient
* Momentum
* Adagrad 
* AdaDelta
* Adam(best one. less time, more efficient)"
How do we use SGD (stochastic gradient descent) for training a neural net? ,"SGD approximates the expectation with few randomly selected samples (instead of the full data). In comparison to batch gradient descent, we can efficiently approximate the expectation in large data sets using SGD. For neural networks this reduces the training time a lot even considering that it will converge later as the random sampling adds noise to the gradient descent."
Whats the learning rate?,"The learning rate is an important hyperparameter that controls how quickly the model is adapted to the problem during the training. It can be seen as the ""step width"" during the parameter updates, i.e. how far the weights are moved into the direction of the minimum of our optimization problem."
What happens when the learning rate is too large? Too small?,"A large learning rate can accelerate the training. However, it is possible that we ""shoot"" too far and miss the minimum of the function that we want to optimize, which will not result in the best solution. On the other hand, training with a small learning rate takes more time but it is possible to find a more precise minimum. The downside can be that the solution is stuck in a local minimum, and the weights won't update even if it is not the best possible global solution."
How to set the learning rate? ,There is no straightforward way of finding an optimum learning rate for a model. It involves a lot of hit and trial. Usually starting with a small values such as 0.01 is a good starting point for setting a learning rate and further tweaking it so that it doesn't overshoot or converge too slowly.
What is Adam? Whats the main difference between Adam and SGD? ,"Adam (Adaptive Moment Estimation) is a optimization technique for training neural networks. on an average, it is the best optimizer .It works with momentums of first and second order. The intuition behind the Adam is that we dont want to roll so fast just because we can jump over the minimum, we want to decrease the velocity a little bit for a careful search.

Adam tends to converge faster, while SGD often converges to more optimal solutions.
SGD's high variance disadvantages gets rectified by Adam (as advantage for Adam)."
When would you use Adam and when SGD? ,"Adam tends to converge faster, while SGD often converges to more optimal solutions."
Do we want to have a constant learning rate or we better change it throughout training? ,"Generally, it is recommended to start learning rate with relatively high value and then gradually decrease learning rate so the model does not overshoot the minima and at the same time we don't want to start with very low learning rate as the model will take too long to converge. There are many available techniques to do decay the learning rate. For example, in PyTorch you can use
a function called StepLR which decays the learning rate of each parameter by value **gamma**-which we have to pass through argument- after n number of epoch which you can also set through function argument named epoch_size."
How do we decide when to stop training a neural net?,Simply stop training when the validation error is the minimum.
What is model checkpointing? ,Saving the weights learned by a model mid training for long running processes is known as model checkpointing so that you can resume your training from a certain checkpoint.
Can you tell us how you approach the model training process? ,"Approach to Model Training:

1) Define the Problem: Understand the problem you're solving, including the type of data you have and the desired output.

2) Data Preparation:

Collection: Gather relevant data.
Cleaning: Handle missing values, outliers, and ensure data consistency.
Preprocessing: Normalize, scale, or encode features as needed.
3) Feature Engineering: Create meaningful features from raw data to improve model performance.

4) Split Data: Divide the data into training, validation, and test sets to evaluate model performance.

5) Select Model: Choose a model based on the problem (e.g., linear regression, decision trees, neural networks).

6) Train Model: Fit the model to the training data. Use hyperparameter tuning and cross-validation to optimize performance.

7) Evaluate Model: Assess the model on the validation set using appropriate metrics (e.g., accuracy, F1-score, RMSE).

8) Refine Model: Adjust model parameters, try different algorithms, or re-engineer features based on evaluation results.

9) Test Model: Once satisfied with validation performance, evaluate the final model on the test set to gauge its real-world effectiveness.

10) Deploy and Monitor: Deploy the model into production and continuously monitor its performance, updating it as necessary based on new data or changing requirements."
How we can use neural nets for computer vision? ,Neural nets used in the area of computer vision are generally Convolutional Neural Networks(CNN's). You can learn about convolutions below. It appears that convolutions are quite powerful when it comes to working with images and videos due to their ability to extract and learn complex features. Thus CNN's are a go-to method for any problem in computer vision.
Whats a convolutional layer? ,"The idea of the convolutional layer is the assumption that the information needed for making a decision often is spatially close and thus, it only takes the weighted sum over nearby inputs. It also assumes that the networks kernels can be reused for all nodes, hence the number of weights can be drastically reduced. To counteract only one feature being learnt per layer, multiple kernels are applied to the input which creates parallel channels in the output. Consecutive layers can also be stacked to allow the network to find more high-level features."
Why do we actually need convolutions? Cant we use fully-connected layers for that? ,"A fully-connected layer needs one weight per inter-layer connection, which means the number of weights which needs to be computed quickly balloons as the number of layers and nodes per layer is increased."
Whats pooling in CNN? Why do we need it? ,"Pooling is a technique to downsample the feature map. It allows layers which receive relatively undistorted versions of the input to learn low level features such as lines, while layers deeper in the model can learn more abstract features such as texture."
How does max pooling work? Are there other pooling techniques? ,"Max pooling is a technique where the maximum value of a receptive field is passed on in the next feature map. The most commonly used receptive field is 2 x 2 with a stride of 2, which means the feature map is downsampled from N x N to N/2 x N/2. Receptive fields larger than 3 x 3 are rarely employed as too much information is lost. 

Other pooling techniques include:

* Average pooling, the output is the average value of the receptive field.
* Min pooling, the output is the minimum value of the receptive field.
* Global pooling, where the receptive field is set to be equal to the input size, this means the output is equal to a scalar and can be used to reduce the dimensionality of the feature map."
Are CNNs resistant to rotations? What happens to the predictions of a CNN if an image is rotated? ,"CNNs are not resistant to rotation by design. However, we can make our models resistant by augmenting our datasets with different rotations of the raw data. The predictions of a CNN will change if an image is rotated and we did not augment our dataset accordingly. A demonstration of this occurence can be seen in [this video](https://www.youtube.com/watch?v=VO1bQo4PXV4), where a CNN changes its predicted class between a duck and a rabbit based on the rotation of the image."
What are augmentations? Why do we need them?,"Augmentations are an artifical way of expanding the existing datasets by performing some transformations, color shifts or many other things on the data. It helps in diversifying the data and even increasing the data when there is scarcity of data for a model to train on."
What kind of augmentations do you know?,"There are many kinds of augmentations which can be used according to the type of data you are working on some of which are geometric and numerical transformation, PCA, cropping, padding, shifting, noise injection etc."
How to choose which augmentations to use? ,"Augmentations really depend on the type of output classes and the features you want your model to learn. For eg. if you have mostly properly illuminated images in your dataset and want your model to predict poorly illuminated images too, you can apply channel shifting on your data and include the resultant images in your dataset for better results."
What kind of CNN architectures for classification do you know? ,"Image Classification
* Inception v3
* Xception 
* DenseNet
* AlexNet
* VGG16
* ResNet
* SqueezeNet
* EfficientNet
* MobileNet

The last three are designed so they use smaller number of parameters which is helpful for edge AI."
What is transfer learning? How does it work? ,"> Definition: Transfer learning is a technique where a model developed for a specific task is reused as the starting point for a model on a second task. It leverages knowledge gained from one task to improve learning on a different, but related, task.

> How It Works:

1) Pre-trained Model: Start with a model that has been previously trained on a large dataset for a related task.
2) Feature Extraction: Use the learned features and representations from the pre-trained model.
3) Fine-Tuning: Adjust the pre-trained model by retraining it on the new task with a smaller, specific dataset. This involves updating the model's weights to better fit the new task.
4) Adaptation: Optionally, modify the architecture or add new layers to the pre-trained model to better suit the new task.
> Benefits:

1) Reduces the need for large amounts of data on the new task.
2) Speeds up training and improves performance, especially when the new dataset is small or the task is similar to the original one."
What is object detection? Do you know any architectures for that? ,"Object detection is finding Bounding Boxes around objects in an image. 
Architectures :
YOLO, Faster RCNN, Center Net"
What is object segmentation? Do you know any architectures for that? ,"Object Segmentation is predicting masks. It does not differentiate objects. 
Architectures :
Mask RCNN, UNet"
How can we use machine learning for text classification? ,"Machine learning classification algorithms predict a class based on a numerical feature representation. This means that in order to use machine learning for text classification, we need to extract numerical features from our text data first before we can apply machine learning algorithms. Common approaches to extract numerical features from text data are bag of words, N-grams or word embeddings."
What is bag of words? How we can use it for text classification? ,"Bag of Words is a representation of text that describes the occurrence of words within a document. The order or structure of the words is not considered. For text classification, we look at the histogram of the words within the text and consider each word count as a feature."
What are the advantages and disadvantages of bag of words? ,"Advantages:

1) Simplicity: Easy to understand and implement, making it a good starting point for text processing.
2) Efficiency: Computationally efficient for basic text representation and works well with traditional machine learning algorithms.
3) No Need for Pre-processing: Requires minimal pre-processing of text data compared to more complex models.
Disadvantages:

1) Loss of Context: Ignores word order and syntactic structure, which can lead to loss of meaning and context in the text.
2) High Dimensionality: Can result in very large feature vectors (especially with large vocabularies), leading to high memory usage and computational costs.
3) Sparsity: Results in sparse matrices where most values are zero, which can be inefficient and challenging to manage.
4) Lack of Semantic Understanding: Does not capture the semantic meaning or relationships between words, which can impact the performance on tasks requiring deeper understanding."
What are N-grams? How can we use them? ,The function to tokenize into consecutive sequences of words is called n-grams. It can be used to find out N most co-occurring words (how often word X is followed by word Y) in a given sentence.
How large should be N for our bag of words when using N-grams? ,"When choosing the size of N for N-grams in the bag of words model, several factors come into play. The size of N should be aligned with the complexity of the task at hand. For simpler tasks, unigrams (N=1) or bigrams (N=2) may be sufficient, while more complex tasks might benefit from trigrams (N=3) or even higher values. Larger N increases the number of unique N-grams, leading to a more extensive and sparse feature space, which can require significant computational resources and memory.

Moreover, a higher N often results in increased sparsity in the feature matrix, as many N-grams may appear infrequently. This can potentially reduce the effectiveness of the model. Additionally, larger 
N can capture more specific patterns, but this also raises the risk of overfitting, especially if the training data is not sufficiently large to support the more detailed N-grams. Finally, computational cost rises with larger N, increasing both processing time and resource requirements. Typically, a balanced approach is recommended, starting with unigrams and bigrams and experimenting with higher values based on the specific needs and constraints of the application."
What is TF-IDF? How is it useful for text classification? ,"Term Frequency (TF) is a scoring of the frequency of the word in the current document. Inverse Document Frequency(IDF) is a scoring of how rare the word is across documents. It is used in scenario where highly recurring words may not contain as much informational content as the domain specific words. For example, words like â€œtheâ€ that are frequent across all documents therefore need to be less weighted. The TF-IDF score highlights words that are distinct (contain useful information) in a given document."
Which model would you use for text classification with bag of words features? ,"1. Bag Of Words model
2. Word2Vec Embeddings
3. fastText Embeddings
4. Convolutional Neural Networks (CNN)
5. Long Short-Term Memory (LSTM)
6. Bidirectional Encoder Representations from Transformers (BERT)"
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words? ,Usually logistic regression is better because bag of words creates a matrix with large number of columns. For a huge number of columns logistic regression is usually faster than gradient boosting trees.
What are word embeddings? Why are they useful? Do you know Word2Vec? ,"Word Embeddings are vector representations for words. Each word is mapped to one vector, this vector tries to capture some characteristics of the word, allowing similar words to have similar vector representations.  
Word Embeddings helps in capturing the inter-word semantics and represents it in real-valued vectors."
Do you know any other ways to get word embeddings? ,"Yes, there are several methods to obtain word embeddings beyond traditional approaches. One of the most popular methods is Word2Vec, which utilizes shallow neural networks to learn word representations based on their context in large corpora. Another method is GloVe (Global Vectors for Word Representation), which creates embeddings by factorizing the word co-occurrence matrix, capturing global statistical information about word relationships.

More recently, contextual embeddings have become prominent, with models like BERT (Bidirectional Encoder Representations from Transformers) and GPT (Generative Pre-trained Transformer) providing embeddings based on the context in which words appear within sentences. These models leverage deep learning architectures and large-scale pre-training on diverse datasets to generate embeddings that capture nuanced semantic and syntactic information.

Additionally, FastText extends Word2Vec by considering subword information, which helps in handling out-of-vocabulary words and improving the quality of embeddings for morphologically rich languages. These methods vary in their approach and the kind of information they capture, offering a range of options for generating effective word embeddings based on specific requirements and contexts."
"If you have a sentence with multiple words, you may need to combine multiple word embeddings into one. How would you do it? ","Approaches ranked from simple to more complex:

1. Take an average over all words
2. Take a weighted average over all words. Weighting can be done by inverse document frequency (idf part of tf-idf).
3. Use ML model like LSTM or Transformer."
Would you prefer gradient boosting trees model or logistic regression when doing text classification with embeddings? ,"When choosing between gradient boosting trees and logistic regression for text classification with embeddings, the decision often hinges on the complexity of the data and the goals of the analysis.

Gradient boosting trees, such as those provided by XGBoost or LightGBM, excel in handling complex, non-linear relationships and interactions within the data. They can capture intricate patterns in the embeddings and often provide strong predictive performance. This approach is particularly useful when you have a large amount of data and when feature interactions are expected to play a significant role in the classification task. Gradient boosting models also typically perform well with varied types of features and can manage feature importance effectively.

On the other hand, logistic regression is a simpler, linear model that assumes a linear relationship between the features and the target variable. It’s computationally efficient and easier to interpret, making it a good choice if you believe the relationship between your embeddings and the target is approximately linear or if you prefer a model with less complexity. Logistic regression can also perform well in many text classification tasks, particularly when combined with regularization techniques to prevent overfitting.

In summary, if your text classification task involves complex relationships and you seek a robust, high-performance model, gradient boosting trees might be preferred. However, for a more interpretable, straightforward approach, logistic regression could be more suitable."
How can you use neural nets for text classification? ,"Neural networks are highly effective for text classification due to their ability to capture complex patterns in text data. To use neural networks for text classification, you typically follow these steps:

Text Representation: The first step involves converting raw text into numerical representations that the neural network can process. Common methods include using word embeddings like Word2Vec, GloVe, or more advanced embeddings like those from pre-trained models such as BERT. These embeddings transform words into dense vectors that capture semantic meanings.

Model Architecture: Choose a neural network architecture suitable for text classification. Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs) are commonly used. CNNs can capture local patterns in text, while RNNs (and their variants like LSTMs and GRUs) are designed to handle sequential dependencies in text. For more advanced tasks, transformer-based models like BERT or GPT can be employed, which handle contextual information effectively.

Training: During training, the neural network learns to map the text representations to the correct class labels by minimizing a loss function, often cross-entropy loss for classification tasks. Training involves adjusting the network's weights using optimization techniques like gradient descent.

Evaluation and Tuning: After training, evaluate the model’s performance on a validation set using metrics such as accuracy, precision, recall, and F1 score. Based on the results, you might need to fine-tune the model, adjust hyperparameters, or incorporate techniques like dropout for regularization to improve performance.

Deployment: Once the model is trained and validated, it can be deployed to classify new, unseen text data. The text is processed and converted into embeddings, which are then fed into the trained neural network to obtain predictions.

By leveraging these steps, neural networks can effectively handle the complexity and variability of text data, making them a powerful tool for text classification tasks."
How can we use CNN for text classification? ,"Convolutional Neural Networks (CNNs) can be effectively used for text classification by leveraging their ability to capture spatial hierarchies in data. Here’s a step-by-step overview of how CNNs can be applied to text classification:

Text Representation: Start by converting text into numerical form. This typically involves representing text using word embeddings like Word2Vec or GloVe, or more advanced methods such as BERT embeddings. These embeddings transform words into dense vectors, capturing semantic information.

Input Preparation: Arrange the text embeddings into a matrix where rows represent individual words (or tokens) and columns represent the embedding dimensions. This matrix serves as the input to the CNN.

Convolutional Layers: Apply convolutional layers to the input matrix. The convolutional filters slide over the matrix to detect local patterns, such as n-grams or phrases. Different filters can capture various features, like the presence of specific phrases or syntactic structures.

Pooling Layers: Use pooling layers, such as max pooling, to reduce the dimensionality of the feature maps produced by the convolutional layers. Pooling helps in summarizing the presence of features and makes the model more robust to variations in the text.

Flattening and Dense Layers: Flatten the pooled feature maps into a single vector and pass it through one or more fully connected (dense) layers. These layers learn to combine the extracted features and make predictions based on the detected patterns.

Output Layer: The final layer is a softmax layer (for multi-class classification) or a sigmoid layer (for binary classification) that outputs the probability distribution over the class labels.

Training and Evaluation: Train the CNN using labeled text data and an appropriate loss function, such as cross-entropy loss for classification. Evaluate the model’s performance on a validation set using metrics like accuracy, precision, recall, and F1 score.

Deployment: After training and evaluation, deploy the model to classify new text data. The text is processed into embeddings, fed through the CNN, and the output probabilities are used to determine the class label.

By leveraging these steps, CNNs can effectively capture important patterns in text data and provide accurate text classification results."
What is unsupervised learning?,Unsupervised learning aims to detect patterns in data where no labels are given.
What is clustering? When do we need it?,Clustering algorithms group objects such that similar feature points are put into the same groups (clusters) and dissimilar feature points are put into different clusters.
Do you know how K-means works? ,"1. Partition points into k subsets.
2. Compute the seed points as the new centroids of the clusters of the current partitioning.
3. Assign each point to the cluster with the nearest seed point.
4. Go back to step 2 or stop when the assignment does not change."
How to select K for K-means? ,"* Domain knowledge, i.e. an expert knows the value of k
* Elbow method: compute the clusters for different values of k, for each k, calculate the total within-cluster sum of square, plot the sum according to the number of clusters and use the band as the number of clusters.
* Average silhouette method: compute the clusters for different values of k, for each k, calculate the average silhouette of observations, plot the silhouette according to the number of clusters and select the maximum as the number of clusters."
What are the other clustering algorithms do you know? ,"* k-medoids: Takes the most central point instead of the mean value as the center of the cluster. This makes it more robust to noise.
* Agglomerative Hierarchical Clustering (AHC): hierarchical clusters combining the nearest clusters starting with each point as its own cluster.
* DIvisive ANAlysis Clustering (DIANA): hierarchical clustering starting with one cluster containing all points and splitting the clusters until each point describes its own cluster.
* Density-Based Spatial Clustering of Applications with Noise (DBSCAN): Cluster defined as maximum set of density-connected points."
Do you know how DBScan works? ,"* Two input parameters epsilon (neighborhood radius) and minPts (minimum number of points in an epsilon-neighborhood)
* Cluster defined as maximum set of density-connected points.
* Points p_j and p_i are density-connected w.r.t. epsilon and minPts if there is a point o such that both, i and j are density-reachable from o w.r.t. epsilon and minPts.
* p_j is density-reachable from p_i w.r.t. epsilon, minPts if there is a chain of points p_i -> p_i+1 -> p_i+x = p_j such that p_i+x is directly density-reachable from p_i+x-1.
* p_j is a directly density-reachable point of the neighborhood of p_i if dist(p_i,p_j) <= epsilon."
When would you choose K-means and when DBScan? ,"* DBScan is more robust to noise.
* DBScan is better when the amount of clusters is difficult to guess.
* K-means has a lower complexity, i.e. it will be much faster, especially with a larger amount of points."
What is the curse of dimensionality? Why do we care about it? ,"Data in only one dimension is relatively tightly packed. Adding a dimension stretches the points across that dimension, pushing them further apart. Additional dimensions spread the data even further making high dimensional data extremely sparse. We care about it, because it is difficult to use machine learning in sparse spaces."
Do you know any dimensionality reduction techniques? ,"* Singular Value Decomposition (SVD)
* Principal Component Analysis (PCA)
* Linear Discriminant Analysis (LDA)
* T-distributed Stochastic Neighbor Embedding (t-SNE)
* Autoencoders
* Fourier and Wavelet Transforms"
Whats singular value decomposition? How is it typically used for machine learning? ,"* Singular Value Decomposition (SVD) is a general matrix decomposition method that factors a matrix X into three matrices L (left singular values), Î£ (diagonal matrix) and R^T (right singular values).
* For machine learning, Principal Component Analysis (PCA) is typically used. It is a special type of SVD where the singular values correspond to the eigenvectors and the values of the diagonal matrix are the squares of the eigenvalues. We use these features as they are statistically descriptive.
* Having calculated the eigenvectors and eigenvalues, we can use the Kaiser-Guttman criterion, a scree plot or the proportion of explained variance to determine the principal components (i.e. the final dimensionality) that are useful for dimensionality reduction."
What is the ranking problem? Which models can you use to solve them? ,Answer here
What are good unsupervised baselines for text information retrieval? ,Answer here
How would you evaluate your ranking algorithms? Which offline metrics would you use? ,Answer here
What is precision and recall at k? ,"Precision at k and recall at k are evaluation metrics for ranking algorithms. Precision at k shows the share of relevant items in the first *k* results of the ranking algorithm. And Recall at k indicates the share of relevant items returned in top *k* results out of all correct answers for a given query.

Example:
For a search query ""Car"" there are 3 relevant products in your shop. Your search algorithm returns 2 of those relevant products in the first 5 search results.
Precision at 5 = # num of relevant products in search result / k = 2/5 = 40%
Recall at 5 = # num of relevant products in search result / # num of all relevant products = 2/3 = 66.6%"
What is mean average precision at k? ,Answer here
How can we use machine learning for search? ,Answer here
How can we get training data for our ranking algorithms? ,Answer here
Can we formulate the search problem as a classification problem? How? ,Answer here
How can we use clicks data as the training data for ranking algorithms? ,Answer here
Do you know how to use gradient boosting trees for ranking? ,Answer here
How do you do an online evaluation of a new ranking algorithm? ,Answer here
What is a recommender system?,Recommender systems are software tools and techniques that provide suggestions for items that are most likely of interest to a particular user.
What are good baselines when building a recommender system? ,"* A good recommer system should give relevant and personalized information.
* It should not recommend items the user knows well or finds easily.
* It should make diverse suggestions.
* A user should explore new items."
What is collaborative filtering? ,"* Collaborative filtering is the most prominent approach to generate recommendations.
* It uses the wisdom of the crowd, i.e. it gives recommendations based on the experience of others.
* A recommendation is calculated as the average of other experiences.
* Say we want to give a score that indicates how much user u will like an item i. Then we can calculate it with the experience of N other users U as r_ui = 1/N * sum(v in U) r_vi.
* In order to rate similar experiences with a higher weight, we can introduce a similarity between users that we use as a multiplier for each rating.
* Also, as users have an individual profile, one user may have an average rating much larger than another user, so we use normalization techniques (e.g. centering or Z-score normalization) to remove the users' biases.
* Collaborative filtering does only need a rating matrix as input and improves over time. However, it does not work well on sparse data, does not work for cold starts (see below) and usually tends to overfit."
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems? ","In comparison to explicit feedback, implicit feedback datasets lack negative examples. For example, explicit feedback can be a positive or a negative rating, but implicit feedback may be the number of purchases or clicks. One popular approach to solve this problem is named weighted alternating least squares (wALS) [Hu, Y., Koren, Y., & Volinsky, C. (2008, December). Collaborative filtering for implicit feedback datasets. In Data Mining, 2008. ICDM'08. Eighth IEEE International Conference on (pp. 263-272). IEEE.]. Instead of modeling the rating matrix directly, the numbers (e.g. amount of clicks) describe the strength in observations of user actions. The model tries to find latent factors that can be used to predict the expected preference of a user for an item."
What is the cold start problem? ,"Collaborative filterung incorporates crowd knowledge to give recommendations for certain items. Say we want to recommend how much a user will like an item, we then will calculate the score using the recommendations of other users for this certain item. We can distinguish between two different ways of a cold start problem now. First, if there is a new item that has not been rated yet, we cannot give any recommendation. Also, when there is a new user, we cannot calculate a similarity to any other user."
Possible approaches to solving the cold start problem? ,"* Content-based filtering incorporates features about items to calculate a similarity between them. In this way, we can recommend items that have a high similarity to items that a user liked already. In this way, we are not dependent on the ratings of other users for a given item anymore and solve the cold start problem for new items.
* Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users."
What is a time series?,A time series is a set of observations ordered in time usually collected at regular intervals.
How is time series different from the usual regression problem?,"The principle behind causal forecasting is that the value that has to be predicted is dependant on the input features (causal factors). In time series forecasting, the to be predicted value is expected to follow a certain pattern over time."
Which models do you know for solving time series problems? ,"* Simple Exponential Smoothing: approximate the time series with an exponential function
* Trend-Corrected Exponential Smoothing (Holtâ€˜s Method): exponential smoothing that also models the trend
* Trend- and Seasonality-Corrected Exponential Smoothing (Holt-Winterâ€˜s Method): exponential smoothing that also models trend and seasonality
* Time Series Decomposition: decomposed a time series into the four components trend, seasonal variation, cycling variation and irregular component
* Autoregressive models: similar to multiple linear regression, except that the dependent variable y_t depends on its own previous values rather than other independent variables.
* Deep learning approaches (RNN, LSTM, etc.)"
"If theres a trend in our series, how we can remove it? And why would we want to do it? ","We can explicitly model the trend (and/or seasonality) with approaches such as Holt's Method or Holt-Winter's Method. We want to explicitly model the trend to reach the stationarity property for the data. Many time series approaches require stationarity. Without stationarity,the interpretation of the results of these analyses is problematic."
You have a series with only one variable â€œyâ€ measured at time t. How do predict â€œyâ€ at time t+1? Which approaches would you use? ,We want to look at the correlation between different observations of y. This measure of correlation is called autocorrelation. Autoregressive models are multiple regression models where the time-lag series of the original time series are treated like multiple independent variables.
You have a series with a variable â€œyâ€ and a set of features. How do you predict â€œyâ€ at t+1? Which approaches would you use? ,"Given the assumption that the set of features gives a meaningful causation to y, a causal forecasting approach such as linear regression or multiple nonlinear regression might be useful. In case there is a lot of data and the explainability of the results is not a high priority, we can also consider deep learning approaches."
What are the problems with using trees for solving time series problems? ,Random Forest models are not able to extrapolate time series data and understand increasing/decreasing trends. It will provide us with average data points if the validation data has values greater than the training data points.
